domain,domain_rank,domain_candidate_count,canonical_key,domain_score,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,domain_term_hits,title_term_hits,nonzero_score_components,admission_state
camera_metamerism_and_spectral_reconstruction,11,102,doi:10.54941/ahfe1004498,11.0,3D Reconstruction Method Using A Pendulum RGB-D Camera,2024,"[""Shigeaki Futagami"",""Kimi Ueda"",""Hirotake Ishii"",""Hiroshi Shimoda""]",10.54941/ahfe1004498,,,AHFE International Intelligent Human Systems Integration (IHSI 2024): Integrating People and Intelligent Systems,proceedings-article,0,True,https://doi.org/10.54941/ahfe1004498,"[""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""publication_year_2020_or_later"",""evidence"":2024,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,12,102,doi:10.1109/cac51589.2020.9326318,10.845098,Multi-robot collaborative SLAM and scene reconstruction based on RGB-D camera,2020,"[""Tianyun Ma"",""Tao Zhang"",""Shaopeng Li""]",10.1109/cac51589.2020.9326318,,,2020 Chinese Automation Congress (CAC),proceedings-article,6,False,https://doi.org/10.1109/cac51589.2020.9326318,"[""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":6,""value"":0.845098},{""component"":""publication_year_2020_or_later"",""evidence"":2020,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,13,102,doi:10.1364/oe.24.014934,10.755875,Improved method for skin reflectance reconstruction from camera images,2016,"[""Kaida Xiao"",""Yuteng Zhu"",""Changjun Li"",""David Connah"",""Julian M Yates"",""Sophie Wuerger""]",10.1364/oe.24.014934,,,Optics Express,journal-article,56,False,https://doi.org/10.1364/oe.24.014934,"[""QF-006""]","[""camera"",""skin""]","[""camera"",""skin""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""skin""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""skin""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":56,""value"":1.755875}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,14,102,doi:10.5220/0008950100570066,10.69897,Enhancing Deep Spectral Super-resolution from RGB Images by Enforcing the Metameric Constraint,2020,"[""Tarek Stiebel"",""Philipp Seltsam"",""Dorit Merhof""]",10.5220/0008950100570066,,,"Proceedings of the 15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",proceedings-article,4,False,https://doi.org/10.5220/0008950100570066,"[""QF-006""]","[""metamer"",""rgb""]","[""metamer"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""metamer"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""metamer"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":4,""value"":0.69897},{""component"":""publication_year_2020_or_later"",""evidence"":2020,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,15,102,doi:10.5220/0010347305440551,10.60206,3D Reconstruction of Deformable Objects from RGB-D Cameras: An Omnidirectional Inward-facing Multi-camera System,2021,"[""Eva Curto"",""Helder Araujo""]",10.5220/0010347305440551,,,"Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",proceedings-article,3,False,https://doi.org/10.5220/0010347305440551,"[""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":3,""value"":0.60206},{""component"":""publication_year_2020_or_later"",""evidence"":2021,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,16,102,doi:10.2352/issn.2694-118x.2020.lim-08,10.477121,Colour Fidelity in Spectral Reconstruction from RGB Images,2020,"[""Yi-Tun Lin""]",10.2352/issn.2694-118x.2020.lim-08,,,London Imaging Meeting,journal-article,2,False,https://doi.org/10.2352/issn.2694-118x.2020.lim-08,"[""QF-006""]","[""rgb"",""spectral reconstruction""]","[""rgb"",""spectral reconstruction""]","[{""component"":""domain_term_hits"",""evidence"":[""rgb"",""spectral reconstruction""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""rgb"",""spectral reconstruction""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":2,""value"":0.477121},{""component"":""publication_year_2020_or_later"",""evidence"":2020,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,17,102,doi:10.1145/3681758.3697993,10.30103,Real-time 3D Human Reconstruction and Rendering System from a Single RGB Camera,2024,"[""Yuanwang Yang"",""Qiao Feng"",""Yu-Kun Lai"",""Kun Li""]",10.1145/3681758.3697993,,,SIGGRAPH Asia 2024 Technical Communications,proceedings-article,1,False,https://doi.org/10.1145/3681758.3697993,"[""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":1,""value"":0.30103},{""component"":""publication_year_2020_or_later"",""evidence"":2024,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,18,102,doi:10.1109/iccv.2013.348,10.255273,A Flexible Scene Representation for 3D Reconstruction Using an RGB-D Camera,2013,"[""Diego Thomas"",""Akihiro Sugimoto""]",10.1109/iccv.2013.348,,,2013 IEEE International Conference on Computer Vision,proceedings-article,17,False,https://doi.org/10.1109/iccv.2013.348,"[""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":17,""value"":1.255273}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,19,102,doi:10.2352/ei.2023.35.15.color-199,10.0,Machine learning estimation of camera spectral sensitivity functions with non-RGB color filters,2023,"[""Abraham Sachs"",""Ramakrishna Kakarala""]",10.2352/ei.2023.35.15.color-199,,,Electronic Imaging,journal-article,0,False,https://doi.org/10.2352/ei.2023.35.15.color-199,"[""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""publication_year_2020_or_later"",""evidence"":2023,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,20,102,doi:10.36463/idw.2023.0769,10.0,Deep Learning for Reducing Metameric Color Mismatch in Camera-based Display Measurement,2023,"[""Guang-Jhih Liou"",""Pei-Li Sun""]",10.36463/idw.2023.0769,,,Proceedings of the International Display Workshops,journal-article,0,False,https://doi.org/10.36463/idw.2023.0769,"[""QF-006""]","[""camera"",""metamer""]","[""camera"",""metamer""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""metamer""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""metamer""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""publication_year_2020_or_later"",""evidence"":2023,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,1,113,doi:10.1364/oe.425401,12.041393,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021,"[""Lixia Wang"",""Aditya Sole"",""Jon Yngve Hardeberg"",""Xiaoxia Wan""]",10.1364/oe.425401,,,Optics Express,journal-article,10,True,https://doi.org/10.1364/oe.425401,"[""QF-005"",""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":10,""value"":1.041393},{""component"":""publication_year_2020_or_later"",""evidence"":2021,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,2,113,doi:10.3390/s22134923,11.778151,Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals,2022,"[""Yu-Che Wen"",""Senfar Wen"",""Long Hsu"",""Sien Chi""]",10.3390/s22134923,,,Sensors,journal-article,5,True,https://doi.org/10.3390/s22134923,"[""QF-005"",""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":5,""value"":0.778151},{""component"":""publication_year_2020_or_later"",""evidence"":2022,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,3,113,doi:10.3390/jimaging9020047,11.278151,Spectral Reflectance Estimation from Camera Responses Using Local Optimal Dataset,2023,"[""Shoji Tominaga"",""Hideaki Sakai""]",10.3390/jimaging9020047,36826966,,Journal of Imaging,journal-article,5,True,https://doi.org/10.3390/jimaging9020047,"[""QF-005""]","[""camera""]","[""camera""]","[{""component"":""domain_term_hits"",""evidence"":[""camera""],""value"":1.5},{""component"":""title_term_hits"",""evidence"":[""camera""],""value"":1.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""pmid_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":5,""value"":0.778151},{""component"":""publication_year_2020_or_later"",""evidence"":2023,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,4,113,doi:10.1117/1.jbo.27.2.026004,11.041393,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,2022,"[""Ilona Kuzmina"",""Ilze Oshina"",""Laura Dambite"",""Vanesa Lukinsone"",""Anna Maslobojeva"",""Anna Berzina"",""Janis Spigulis""]",10.1117/1.jbo.27.2.026004,,,Journal of Biomedical Optics,journal-article,10,False,https://doi.org/10.1117/1.jbo.27.2.026004,"[""QF-005"",""QF-006"",""QF-007""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":10,""value"":1.041393},{""component"":""publication_year_2020_or_later"",""evidence"":2022,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,5,113,doi:10.3390/jimaging12050203,11.0,Characterization of RGB-Polarization Sensor-Based Cameras.,2026,"[""Karge A"",""Klammer M"",""Eberhardt B"",""Schilling A.""]",10.3390/jimaging12050203,42188240,,,,0,True,https://europepmc.org/article/MED/42188240,"[""QF-004"",""QF-005"",""QF-010""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""pmid_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""publication_year_2020_or_later"",""evidence"":2026,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,6,113,doi:10.5573/ieiespc.2023.12.4.334,10.0,Deep Fusion: Illuminant Estimation using a Camera and a Spectral Sensor,2023,"[""Sungmin Woo"",""Rayun Boo""]",10.5573/ieiespc.2023.12.4.334,,,IEIE Transactions on Smart Processing &amp; Computing,journal-article,0,False,https://doi.org/10.5573/ieiespc.2023.12.4.334,"[""QF-005""]","[""camera"",""illuminant""]","[""camera"",""illuminant""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""illuminant""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""illuminant""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""publication_year_2020_or_later"",""evidence"":2023,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,7,113,doi:10.1117/12.586810,9.778151,Estimation of fluorescent scene illuminant by a spectral camera system,2005,"[""Shoji Tominaga"",""Hideo Haraguchi""]",10.1117/12.586810,,,"SPIE Proceedings Color Imaging X: Processing, Hardcopy, and Applications",proceedings-article,5,False,https://doi.org/10.1117/12.586810,"[""QF-005""]","[""camera"",""illuminant""]","[""camera"",""illuminant""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""illuminant""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""illuminant""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":5,""value"":0.778151}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,8,113,doi:10.1109/cvcs.2013.6626288,9.69897,To develop a method of estimating spectral reflectance from camera RGB values,2013,"[""Radovan Slavuj"",""Phil Green""]",10.1109/cvcs.2013.6626288,,,2013 Colour and Visual Computing Symposium (CVCS),proceedings-article,4,False,https://doi.org/10.1109/cvcs.2013.6626288,"[""QF-005"",""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":4,""value"":0.69897}]",UNSCREENED_NOT_ADMITTED
camera_spectral_sensitivity_and_observation_operators,9,113,doi:10.2352/cic.2005.13.1.art00004,9.60206,The Chromagenic Colour Camera and Illuminant Estimation,2005,"[""Graham D. Finlayson"",""Peter Morovic"",""Steven D. Hordley""]",10.2352/cic.2005.13.1.art00004,,,Color and Imaging Conference,journal-article,3,False,https://doi.org/10.2352/cic.2005.13.1.art00004,"[""QF-005""]","[""camera"",""illuminant""]","[""camera"",""illuminant""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""illuminant""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""illuminant""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":3,""value"":0.60206}]",UNSCREENED_NOT_ADMITTED
