global_rank,global_candidate_count,canonical_key,global_priority_score,maximum_domain_score,domain_breadth_bonus,domain_count,assigned_domains,strongest_domain,domain_rankings,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,discovery_queries,admission_state
11,1303,doi:10.1117/1.jbo.28.3.035001,15.396128,14.646128,0.75,4,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design"",""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_candidate_count"":120,""domain_rank"":6,""domain_score"":9.646128},{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":3,""domain_score"":12.146128},{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_candidate_count"":116,""domain_rank"":13,""domain_score"":9.646128},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":5,""domain_score"":14.646128}]",Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023,"[""Jung G"",""Kim S"",""Lee J"",""Yoo S.""]",10.1117/1.jbo.28.3.035001,36992693,,,,13,True,https://europepmc.org/article/MED/36992693,"[""QF-002"",""QF-003"",""QF-007"",""QF-008""]","[""Fisher information skin spectroscopy melanin hemoglobin"",""collinearity melanin hemoglobin optical parameter estimation"",""melanin hemoglobin scattering identifiability skin spectroscopy"",""multispectral band selection melanin hemoglobin skin"",""skin spectral reflectance inverse problem melanin hemoglobin""]",UNSCREENED_NOT_ADMITTED
12,1303,doi:10.1117/12.3078827,15.0,15.0,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":8,""domain_score"":15.0}]",Characterization and correction of bias in diffuse reflectance-based skin diagnostics via optical scattering models of benign and malignant skin tissues,2026,"[""Rana Dey"",""Robert H. Wilson""]",10.1117/12.3078827,,,Biomedical Light Scattering XVI,proceedings-article,0,False,https://doi.org/10.1117/12.3078827,"[""QF-001""]","[""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
13,1303,doi:10.1117/12.873134,14.90309,14.90309,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":9,""domain_score"":14.90309}]",Can a one-layer optical skin model including melanin and inhomogeneously distributed blood explain spatially resolved diffuse reflectance spectra?,2011,"[""Hanna Karlsson"",""Anders Pettersson"",""Marcus Larsson"",""Tomas Strömberg""]",10.1117/12.873134,,,SPIE Proceedings Optical Tomography and Spectroscopy of Tissue IX,proceedings-article,7,False,https://doi.org/10.1117/12.873134,"[""QF-001""]","[""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
14,1303,doi:10.1109/cvprw50498.2020.00239,14.757679,14.757679,0.0,1,"[""camera_metamerism_and_spectral_reconstruction""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":1,""domain_score"":14.757679}]",Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020,"[""Jiaojiao Li"",""Chaoxiong Wu"",""Rui Song"",""Yunsong Li"",""Fei Liu""]",10.1109/cvprw50498.2020.00239,,,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),proceedings-article,180,False,https://doi.org/10.1109/cvprw50498.2020.00239,"[""QF-006""]","[""human skin camera metamerism spectral reconstruction RGB""]",UNSCREENED_NOT_ADMITTED
15,1303,doi:10.1117/12.3098404,14.75,14.0,0.75,4,"[""camera_spectral_sensitivity_and_observation_operators"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models"",""spectral_reflectance_geometry_and_dimension""]",skin_tissue_optical_forward_models,"[{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_candidate_count"":113,""domain_rank"":94,""domain_score"":5.0},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":32,""domain_score"":10.0},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":14,""domain_score"":14.0},{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":7,""domain_score"":12.5}]",Monte Carlo simulation of spectral reflectance images of human skin with embedded lesions,2025,"[""Uldis Rubins"",""Ilze Irbe"",""Janis Spigulis""]",10.1117/12.3098404,,,Diffuse Optical Spectroscopy and Imaging X,proceedings-article,0,False,https://doi.org/10.1117/12.3098404,"[""QF-001"",""QF-002"",""QF-004"",""QF-005""]","[""Monte Carlo skin tissue optical forward model reflectance"",""camera spectral sensitivity human skin reflectance operator"",""intrinsic dimension human skin spectral reflectance"",""inverse rendering human skin spectral reflectance"",""multilayer skin optical model spectral reflectance""]",UNSCREENED_NOT_ADMITTED
16,1303,doi:10.3390/s130607902,14.601258,14.351258,0.25,2,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":5,""domain_score"":11.851258},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":8,""domain_score"":14.351258}]",Estimation of Melanin and Hemoglobin Using Spectral Reflectance Images Reconstructed from a Digital RGB  Image by the Wiener Estimation Method,2013,"[""Izumi Nishidate"",""Takaaki Maeda"",""Kyuichi Niizeki"",""Yoshihisa Aizu""]",10.3390/s130607902,,,Sensors,journal-article,70,True,https://doi.org/10.3390/s130607902,"[""QF-002"",""QF-003""]","[""collinearity melanin hemoglobin optical parameter estimation"",""skin spectral reflectance inverse problem melanin hemoglobin""]",UNSCREENED_NOT_ADMITTED
17,1303,doi:10.1038/s41597-025-04382-5,14.595098,14.345098,0.25,2,"[""clinical_external_validation_and_domain_shift"",""dermatology_dataset_duplicates_labels_and_quality""]",dermatology_dataset_duplicates_labels_and_quality,"[{""domain"":""clinical_external_validation_and_domain_shift"",""domain_candidate_count"":117,""domain_rank"":34,""domain_score"":6.845098},{""domain"":""dermatology_dataset_duplicates_labels_and_quality"",""domain_candidate_count"":93,""domain_rank"":1,""domain_score"":14.345098}]",Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,2025,"[""Abhishek K"",""Jain A"",""Hamarneh G.""]",10.1038/s41597-025-04382-5,39893183,,,,6,True,https://europepmc.org/article/MED/39893183,"[""QF-012"",""QF-013""]","[""dermatology dataset duplicate images label quality"",""patient disjoint dermatology model validation""]",UNSCREENED_NOT_ADMITTED
18,1303,doi:10.3390/s21113745,14.541393,14.541393,0.0,1,"[""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":7,""domain_score"":14.541393}]",Extraction of the Structural Properties of Skin Tissue via Diffuse Reflectance Spectroscopy: An Inverse Methodology,2021,"[""Bin Chen"",""Yong Zhang"",""Shang Gao"",""Dong Li""]",10.3390/s21113745,,,Sensors,journal-article,10,True,https://doi.org/10.3390/s21113745,"[""QF-002""]","[""inverse model skin reflectance chromophore concentration""]",UNSCREENED_NOT_ADMITTED
19,1303,doi:10.1117/12.3041854,14.5,14.0,0.5,3,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":25,""domain_score"":7.5},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":20,""domain_score"":12.5},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":13,""domain_score"":14.0}]",Investigating chromophore changes in bruised skin In vivo using diffuse reflectance spectroscopy and Monte Carlo simulation (Conference Presentation),2025,"[""Ting You Liu"",""Tzu-Yang Hsu"",""Szu-Yu Chen"",""Kung-Bin Sung""]",10.1117/12.3041854,,,Optical Tomography and Spectroscopy of Tissue XVI,proceedings-article,0,False,https://doi.org/10.1117/12.3041854,"[""QF-001"",""QF-002"",""QF-003""]","[""Monte Carlo skin tissue optical forward model reflectance"",""inverse model skin reflectance chromophore concentration"",""skin chromophore parameter identifiability diffuse reflectance""]",UNSCREENED_NOT_ADMITTED
20,1303,doi:10.1117/12.2281612,14.477121,14.477121,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":10,""domain_score"":14.477121}]",Investigating optical path in reflectance pulse oximetry using a multilayer Monte Carlo model,2017,"[""S. Chatterjee"",""J. P. Phillips"",""P. A. Kyriacou""]",10.1117/12.2281612,,,SPIE Proceedings Clinical and Preclinical Optical Diagnostics,proceedings-article,2,False,https://doi.org/10.1117/12.2281612,"[""QF-001""]","[""multilayer skin optical model spectral reflectance""]",UNSCREENED_NOT_ADMITTED
21,1303,doi:10.1117/12.2581556,14.30103,14.30103,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":11,""domain_score"":14.30103}]",Neural network forward model and transfer learning calibration from Monte Carlo to diffuse reflectance spectroscopy,2021,"[""Qing Lan"",""Ryan G. McClarren"",""Karthik Vishwanath""]",10.1117/12.2581556,,,Optical Tomography and Spectroscopy of Tissue XIV,proceedings-article,1,False,https://doi.org/10.1117/12.2581556,"[""QF-001""]","[""Monte Carlo skin tissue optical forward model reflectance""]",UNSCREENED_NOT_ADMITTED
22,1303,doi:10.1002/lsm.10242,14.248188,14.248188,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":12,""domain_score"":14.248188}]",Characterization of port wine stain skin erythema and melanin content using cross‐polarized diffuse reflectance imaging,2004,"[""Byungjo Jung"",""Bernard Choi"",""Anthony J. Durkin"",""Kristen M. Kelly"",""J. Stuart Nelson""]",10.1002/lsm.10242,,,Lasers in Surgery and Medicine,journal-article,55,True,https://doi.org/10.1002/lsm.10242,"[""QF-001""]","[""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
23,1303,doi:10.1007/s13534-024-00409-9,14.05103,13.80103,0.25,2,"[""fisher_information_and_cramer_rao_skin_imaging"",""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_candidate_count"":120,""domain_rank"":10,""domain_score"":8.80103},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":9,""domain_score"":13.80103}]",Integrated deep learning approach for generating cross-polarized images and analyzing skin melanin and hemoglobin distributions.,2024,"[""Jung G"",""Lee J"",""Kim S.""]",10.1007/s13534-024-00409-9,39465115,,,,1,True,https://europepmc.org/article/MED/39465115,"[""QF-002"",""QF-008""]","[""Fisher information skin spectroscopy melanin hemoglobin"",""skin spectral reflectance inverse problem melanin hemoglobin""]",UNSCREENED_NOT_ADMITTED
24,1303,doi:10.1117/1.jbo.27.2.026004,14.041393,13.541393,0.5,3,"[""camera_metamerism_and_spectral_reconstruction"",""camera_spectral_sensitivity_and_observation_operators"",""multispectral_band_selection_and_measurement_design""]",camera_metamerism_and_spectral_reconstruction,"[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_candidate_count"":102,""domain_rank"":2,""domain_score"":13.541393},{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_candidate_count"":113,""domain_rank"":4,""domain_score"":11.041393},{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_candidate_count"":116,""domain_rank"":21,""domain_score"":8.541393}]",Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,2022,"[""Ilona Kuzmina"",""Ilze Oshina"",""Laura Dambite"",""Vanesa Lukinsone"",""Anna Maslobojeva"",""Anna Berzina"",""Janis Spigulis""]",10.1117/1.jbo.27.2.026004,,,Journal of Biomedical Optics,journal-article,10,False,https://doi.org/10.1117/1.jbo.27.2.026004,"[""QF-005"",""QF-006"",""QF-007""]","[""camera illuminant spectral observation model skin"",""human skin camera metamerism spectral reconstruction RGB"",""measurement design skin chromophore spectral imaging""]",UNSCREENED_NOT_ADMITTED
25,1303,doi:10.1117/12.2648157,14.0,14.0,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":15,""domain_score"":14.0}]",Quantitative evaluation of light distribution in skin tissue for short-pulsed laser treatment using Monte Carlo simulation combined with nonlinear absorption model of melanin,2023,"[""Yu Shimojo"",""Takahiro Nishimura"",""Kunio Awazu""]",10.1117/12.2648157,,,Optical Interactions with Tissue and Cells XXXIV,proceedings-article,0,False,https://doi.org/10.1117/12.2648157,"[""QF-001""]","[""Monte Carlo skin tissue optical forward model reflectance""]",UNSCREENED_NOT_ADMITTED
26,1303,doi:10.1117/12.2252097,14.0,14.0,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":16,""domain_score"":14.0}]",Optical skin assessment based on spectral reflectance estimation and Monte Carlo simulation,2017,"[""Jacob R. Bauer"",""Jon Y. Hardeberg"",""Rudolf Verdaasdonk""]",10.1117/12.2252097,,,SPIE Proceedings Multimodal Biomedical Imaging XII,proceedings-article,0,False,https://doi.org/10.1117/12.2252097,"[""QF-001""]","[""Monte Carlo skin tissue optical forward model reflectance"",""multilayer skin optical model spectral reflectance""]",UNSCREENED_NOT_ADMITTED
27,1303,doi:10.1364/ecbo.2025.tu2a.20,14.0,13.5,0.5,3,"[""camera_spectral_sensitivity_and_observation_operators"",""skin_reflectance_inverse_models"",""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_candidate_count"":113,""domain_rank"":80,""domain_score"":6.0},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":28,""domain_score"":11.0},{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":3,""domain_score"":13.5}]",Monte Carlo Simulation of Spectral Reflectance Images of Human Skin with Embedded Lesions,2025,"[""Uldis Rubins"",""Ilze Irbe"",""Janis Spigulis""]",10.1364/ecbo.2025.tu2a.20,,,European Conferences on Biomedical Optics 2025,proceedings-article,0,True,https://doi.org/10.1364/ecbo.2025.tu2a.20,"[""QF-002"",""QF-004"",""QF-005""]","[""camera spectral sensitivity human skin reflectance operator"",""intrinsic dimension human skin spectral reflectance"",""inverse rendering human skin spectral reflectance""]",UNSCREENED_NOT_ADMITTED
28,1303,doi:10.1093/ced/llaf126,13.977121,13.977121,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":1,""domain_score"":13.977121}]",Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025,"[""Goranit Sakunchotpanit"",""Krithika Nayudu"",""Ryan Chen"",""Sofia Milosavljevic"",""Thomas Z Rohan"",""Laura Ortiz-López"",""Kaushik Venkatesh"",""Vinod E Nambudiri""]",10.1093/ced/llaf126,,,Clinical and Experimental Dermatology,journal-article,2,True,https://doi.org/10.1093/ced/llaf126,"[""QF-011""]","[""dermatology artificial intelligence skin tone performance disparity""]",UNSCREENED_NOT_ADMITTED
29,1303,doi:10.3390/app15158321,13.977121,13.977121,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":2,""domain_score"":13.977121}]",Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,2025,"[""Sara Seabra Reis"",""Luis Pinto-Coelho"",""Maria Carolina Sousa"",""Mariana Neto"",""Marta Silva"",""Miguela Sequeira""]",10.3390/app15158321,,,Applied Sciences,journal-article,2,True,https://doi.org/10.3390/app15158321,"[""QF-011""]","[""skin disease classification fairness skin tone""]",UNSCREENED_NOT_ADMITTED
30,1303,doi:10.1364/boe.507361,13.977121,13.977121,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":2,""domain_score"":13.977121}]",Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo,2024,"[""Zongze Huo"",""Shibin Wang"",""Huixin Wei"",""Xuanshi Cheng"",""Linan Li"",""Chuanwei Li"",""Zhiyong Wang""]",10.1364/boe.507361,,,Biomedical Optics Express,journal-article,2,True,https://doi.org/10.1364/boe.507361,"[""QF-004""]","[""intrinsic dimension human skin spectral reflectance""]",UNSCREENED_NOT_ADMITTED
31,1303,doi:10.2196/31697,13.676091,13.676091,0.0,1,"[""dermatology_ai_fairness_and_skin_tone""]",dermatology_ai_fairness_and_skin_tone,"[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_candidate_count"":111,""domain_rank"":3,""domain_score"":13.676091}]",Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,2021,"[""Pushkar Aggarwal""]",10.2196/31697,,,JMIR Dermatology,journal-article,14,True,https://doi.org/10.2196/31697,"[""QF-011""]","[""dermatology AI subgroup performance Fitzpatrick skin type"",""dermatology artificial intelligence skin tone performance disparity""]",UNSCREENED_NOT_ADMITTED
