review_queue_position,canonical_key,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,domain_slot_count,domain_count,domains_json,domain_appearances_json,best_domain_rank,maximum_domain_score,source_admission_states_json,review_status,adjudication_state,exclusion_reason_code,exclusion_reason_text,primary_or_contextual,truecolor_claim_ids_json,closest_prior_art_candidate,full_text_evidence_available,methods_evidence_available,equation_evidence_available,validation_evidence_available,limitations_evidence_available,same_estimand,same_population,same_measurement_operator,same_mechanism_decomposition,same_external_validation,overlap_level,novelty_kill_triggered,reviewer_1_decision,reviewer_1_notes,reviewer_2_decision,reviewer_2_notes,adjudication_notes,evidence_artifact_paths_json,mapped_claim_ids_json,mapped_claim_count,screening_state,screen_rule_ids_json,screening_decision_final,scientific_review_priority,scientific_relevance_decision,scientific_relevance_reason,claim_overlap_review_status,full_text_review_status
11,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,"[""Jinyao Wang"",""Dong Li"",""Bin Chen""]",10.1002/jbio.202400118,,,Journal of Biophotonics,journal-article,0,True,https://doi.org/10.1002/jbio.202400118,"[""QF-002"",""QF-003""]",2,2,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]","[{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":2,""domain_score"":16.0},{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":20,""domain_score"":8.5}]",2,16.0,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,119.0,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
12,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,2016.0,"[""Takumi Yokokawa"",""Izumi Nishidate""]",10.1007/s10043-015-0177-3,,,Optical Review,journal-article,3,False,https://doi.org/10.1007/s10043-015-0177-3,"[""QF-001"",""QF-002"",""QF-003""]",3,3,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]","[{""domain"":""skin_tissue_optical_forward_models"",""domain_rank"":3,""domain_score"":16.10206},{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":4,""domain_score"":12.10206},{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":6,""domain_score"":14.60206}]",3,16.10206,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,113.53745333333332,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
13,doi:10.1007/s10043-010-0040-5,Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,2010.0,"[""Takaaki Maeda"",""Naomi Arakawa"",""Motoji Takahashi"",""Yoshihisa Aizu""]",10.1007/s10043-010-0040-5,,,Optical Review,journal-article,84,False,https://doi.org/10.1007/s10043-010-0040-5,"[""QF-001""]",1,1,"[""skin_tissue_optical_forward_models""]","[{""domain"":""skin_tissue_optical_forward_models"",""domain_rank"":2,""domain_score"":17.429419}]",2,17.429419,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,110.858838,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
14,doi:10.1117/1.jbo.27.2.026004,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,2022.0,"[""Ilona Kuzmina"",""Ilze Oshina"",""Laura Dambite"",""Vanesa Lukinsone"",""Anna Maslobojeva"",""Anna Berzina"",""Janis Spigulis""]",10.1117/1.jbo.27.2.026004,,,Journal of Biomedical Optics,journal-article,10,False,https://doi.org/10.1117/1.jbo.27.2.026004,"[""QF-005"",""QF-006"",""QF-007""]",2,2,"[""camera_metamerism_and_spectral_reconstruction"",""camera_spectral_sensitivity_and_observation_operators""]","[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_rank"":2,""domain_score"":13.541393},{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_rank"":4,""domain_score"":11.041393}]",2,13.541393,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-003""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,109.082786,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
15,doi:10.3390/s22134923,Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals,2022.0,"[""Yu-Che Wen"",""Senfar Wen"",""Long Hsu"",""Sien Chi""]",10.3390/s22134923,,,Sensors,journal-article,5,True,https://doi.org/10.3390/s22134923,"[""QF-005"",""QF-006""]",2,2,"[""camera_metamerism_and_spectral_reconstruction"",""camera_spectral_sensitivity_and_observation_operators""]","[{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_rank"":2,""domain_score"":11.778151},{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_rank"":7,""domain_score"":11.778151}]",2,11.778151,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-003""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,105.556302,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
16,doi:10.1117/1.jbo.29.9.093507,"Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering",2024.0,"[""Thomas T. Livecchi"",""Steven L. Jacques"",""Hrebesh M. Subhash"",""Mark C. Pierce""]",10.1117/1.jbo.29.9.093507,,,Journal of Biomedical Optics,journal-article,8,False,https://doi.org/10.1117/1.jbo.29.9.093507,"[""QF-003""]",1,1,"[""melanin_hemoglobin_and_scattering_identifiability""]","[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":2,""domain_score"":13.454243}]",2,13.454243,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,102.908486,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
17,doi:10.1364/boe.507361,Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo,2024.0,"[""Zongze Huo"",""Shibin Wang"",""Huixin Wei"",""Xuanshi Cheng"",""Linan Li"",""Chuanwei Li"",""Zhiyong Wang""]",10.1364/boe.507361,,,Biomedical Optics Express,journal-article,2,True,https://doi.org/10.1364/boe.507361,"[""QF-004""]",1,1,"[""spectral_reflectance_geometry_and_dimension""]","[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_rank"":2,""domain_score"":13.977121}]",2,13.977121,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-005""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,98.954242,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
18,doi:10.3390/app15158321,Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,2025.0,"[""Sara Seabra Reis"",""Luis Pinto-Coelho"",""Maria Carolina Sousa"",""Mariana Neto"",""Marta Silva"",""Miguela Sequeira""]",10.3390/app15158321,,,Applied Sciences,journal-article,2,True,https://doi.org/10.3390/app15158321,"[""QF-011""]",1,1,"[""dermatology_ai_fairness_and_skin_tone""]","[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_rank"":2,""domain_score"":13.977121}]",2,13.977121,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-004"",""TC-NOV-006""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,98.954242,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
19,doi:10.3390/s23083888,Multispectral Imaging for Skin Diseases Assessment-State of the Art and Perspectives.,2023.0,"[""Ilișanu MA"",""Moldoveanu F"",""Moldoveanu A.""]",10.3390/s23083888,37112229.0,,,,16,True,https://europepmc.org/article/MED/37112229,"[""QF-007""]",1,1,"[""multispectral_band_selection_and_measurement_design""]","[{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_rank"":2,""domain_score"":12.230449}]",2,12.230449,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-003""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,95.460898,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
20,doi:10.1111/srt.13207,Validity of self‐reported skin color by using skin color evaluation scale,2022.0,"[""Yuma Nakashima"",""Keiko Wada"",""Michiyo Yamakawa"",""Chisato Nagata""]",10.1111/srt.13207,36210488.0,,Skin Research and Technology,journal-article,13,True,https://doi.org/10.1111/srt.13207,"[""QF-009""]",1,1,"[""skin_colorimetry_ita_and_color_measurement""]","[{""domain"":""skin_colorimetry_ita_and_color_measurement"",""domain_rank"":2,""domain_score"":11.646128}]",2,11.646128,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-003"",""TC-NOV-005""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,94.292256,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
21,doi:10.1117/1.jbo.28.10.107001,"Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy",2023.0,"[""Masafumi Minakawa"",""Md. Abdul Wares"",""Kazuya Nakano"",""Hideaki Haneishi"",""Yoshihisa Aizu"",""Yoshio Hayasaki"",""Tetsuo Ikeda"",""Hajime Nagahara"",""Izumi Nishidate""]",10.1117/1.jbo.28.10.107001,37915398.0,,Journal of Biomedical Optics,journal-article,11,False,https://doi.org/10.1117/1.jbo.28.10.107001,"[""QF-001"",""QF-002""]",2,2,"[""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]","[{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":4,""domain_score"":15.579181},{""domain"":""skin_tissue_optical_forward_models"",""domain_rank"":6,""domain_score"":15.579181}]",4,15.579181,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,93.158362,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
22,doi:10.20965/jaciii.2026.p0156,Low Illumination Image Enhancement Method Based on White Balance Correction for Conveying Foreign Objects Detection,2026.0,"[""Mingming Zuo"",""Daxin Zheng"",""Siyuan Wu"",""Ning Jiang"",""Mengchao Zhang""]",10.20965/jaciii.2026.p0156,,,Journal of Advanced Computational Intelligence and Intelligent Informatics,journal-article,0,True,https://doi.org/10.20965/jaciii.2026.p0156,"[""QF-010""]",1,1,"[""capture_variability_white_balance_and_illumination""]","[{""domain"":""capture_variability_white_balance_and_illumination"",""domain_rank"":2,""domain_score"":11.0}]",2,11.0,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-003"",""TC-NOV-006""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],True,93.0,EXCLUDE_OFF_TOPIC,Low-illumination enhancement for foreign-object detection does not adjudicate skin capture variability or the TrueColor capture-control boundary.,NOT_STARTED,NOT_STARTED
23,doi:10.1016/s0924-2031(01)00144-8,Melanin as a confounding factor in near infrared spectroscopy of skin,2002.0,"[""Anna Matas"",""Michael G. Sowa"",""Geoff Taylor"",""Henry H. Mantsch""]",10.1016/s0924-2031(01)00144-8,,,Vibrational Spectroscopy,journal-article,44,False,https://doi.org/10.1016/s0924-2031(01)00144-8,"[""QF-003"",""QF-008""]",1,1,"[""fisher_information_and_cramer_rao_skin_imaging""]","[{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_rank"":2,""domain_score"":10.653213}]",2,10.653213,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,92.306426,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
24,doi:10.1111/ics.12147,Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,2014.0,"[""A. F. M. Hani"",""R. Baba"",""N. Shamsuddin"",""H. Nugroho""]",10.1111/ics.12147,,,International Journal of Cosmetic Science,journal-article,8,True,https://doi.org/10.1111/ics.12147,"[""QF-002""]",1,1,"[""skin_reflectance_inverse_models""]","[{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":3,""domain_score"":15.954243}]",3,15.954243,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,91.24181933333334,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
25,doi:10.1016/j.visres.2022.108048,Effect of skin colors due to hemoglobin or melanin modulation on facial expression recognition,2022.0,"[""Masahiro Kato"",""Hiromi Sato"",""Yoko Mizokami""]",10.1016/j.visres.2022.108048,,,Vision Research,journal-article,17,False,https://doi.org/10.1016/j.visres.2022.108048,"[""QF-003"",""QF-007"",""QF-008""]",3,3,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design""]","[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":7,""domain_score"":11.255273},{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_rank"":11,""domain_score"":8.755273},{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_rank"":20,""domain_score"":8.755273}]",7,11.255273,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",4,SCIENTIFIC_REVIEW_REQUIRED,[],False,89.79626028571428,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
26,doi:10.3390/s130607902,Estimation of Melanin and Hemoglobin Using Spectral Reflectance Images Reconstructed from a Digital RGB  Image by the Wiener Estimation Method,2013.0,"[""Izumi Nishidate"",""Takaaki Maeda"",""Kyuichi Niizeki"",""Yoshihisa Aizu""]",10.3390/s130607902,,,Sensors,journal-article,70,True,https://doi.org/10.3390/s130607902,"[""QF-002"",""QF-003""]",2,2,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]","[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":5,""domain_score"":11.851258},{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":8,""domain_score"":14.351258}]",5,14.351258,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,85.702516,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
27,doi:10.1111/srt.12421,Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,2018.0,"[""Y. Masuda"",""Y. Ogura"",""Y. Inagaki"",""T. Yasui"",""Y. Aizu""]",10.1111/srt.12421,,,Skin Research and Technology,journal-article,11,True,https://doi.org/10.1111/srt.12421,"[""QF-001""]",1,1,"[""skin_tissue_optical_forward_models""]","[{""domain"":""skin_tissue_optical_forward_models"",""domain_rank"":4,""domain_score"":16.079181}]",4,16.079181,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,83.158362,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
