unique_review_order,canonical_key,title,doi,claims_json,scientific_content_state,total_match_count,scientific_match_count,full_text_candidate_count,best_match_path,best_match_content_state,matches_json
16,doi:10.3390/curroncol30030241,Validity of a Self-Assessment Skin Tone Palette Compared to a Colorimeter for Characterizing Skin Color for Skin Cancer Research.,10.3390/curroncol30030241,"[""TC-NOV-003"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
17,doi:10.3390/app15158321,Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,10.3390/app15158321,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
18,doi:10.2196/31697,Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,10.2196/31697,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
19,doi:10.35772/ghm.2026.01058,Artificial intelligence (AI)-assisted diagnosis of skin diseases: From image classification to dermatology-specific multimodal clinical reasoning.,10.35772/ghm.2026.01058,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
20,doi:10.3390/jimaging12050203,Characterization of RGB-Polarization Sensor-Based Cameras.,10.3390/jimaging12050203,"[""TC-NOV-003"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
21,doi:10.1016/j.jaad.2022.06.115,32993 Association of pigment contrast on multispectral dermatoscopic imaging with pigmented lesion histopathologic diagnosis,10.1016/j.jaad.2022.06.115,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
22,doi:10.1117/1.jbo.27.2.026004,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,10.1117/1.jbo.27.2.026004,"[""TC-NOV-002"",""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
23,doi:10.1093/ced/llaf145,Comment on ‘Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study’,10.1093/ced/llaf145,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
24,doi:10.3390/s22134923,Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals,10.3390/s22134923,"[""TC-NOV-002"",""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
25,doi:10.1038/s41591-023-02540-z,External validation of AI models in health should be replaced with recurring local validation,10.1038/s41591-023-02540-z,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
26,doi:10.1364/boe.507361,Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo,10.1364/boe.507361,"[""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
27,doi:10.3390/s23083888,Multispectral Imaging for Skin Diseases Assessment-State of the Art and Perspectives.,10.3390/s23083888,"[""TC-NOV-002"",""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
28,doi:10.1111/ics.12147,Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,10.1111/ics.12147,"[""TC-NOV-001"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
29,doi:10.7759/cureus.94909,Exploring the Diagnostic Capability of Artificial Intelligence in Dermatology for Darker Skin Tones: A Narrative Review.,10.7759/cureus.94909,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
30,doi:10.1111/srt.13207,Validity of self‐reported skin color by using skin color evaluation scale,10.1111/srt.13207,"[""TC-NOV-003"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
31,doi:10.5753/sibgrapi.est.2024.31648,Enhancing Fairness in Machine Learning: Skin Tone Classification Using the Monk Skin Tone Scale,10.5753/sibgrapi.est.2024.31648,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
32,doi:10.3390/s130607902,Estimation of Melanin and Hemoglobin Using Spectral Reflectance Images Reconstructed from a Digital RGB  Image by the Wiener Estimation Method,10.3390/s130607902,"[""TC-NOV-001"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
33,doi:10.1111/srt.12421,Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,10.1111/srt.12421,"[""TC-NOV-001"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
34,doi:10.1109/iccvw60793.2023.00122,Deterministic Neural Illumination Mapping for Efficient Auto-White Balance Correction,10.1109/iccvw60793.2023.00122,"[""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
35,doi:10.1016/s0924-2031(01)00144-8,Melanin as a confounding factor in near infrared spectroscopy of skin,10.1016/s0924-2031(01)00144-8,"[""TC-NOV-001""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
36,doi:10.1109/tip.2017.2764264,A Data Set for Camera-Independent Color Constancy,10.1109/tip.2017.2764264,"[""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
37,doi:10.1111/ijd.70452,Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset,10.1111/ijd.70452,"[""TC-NOV-004""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
38,doi:10.1364/josaa.23.001814,Metamer-set-based approach to estimating surface reflectance from camera RGB,10.1364/josaa.23.001814,"[""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
39,doi:10.1371/journal.pone.0280670,New AI-algorithms on smartphones to detect skin cancer in a clinical setting-A validation study.,10.1371/journal.pone.0280670,"[""TC-NOV-004""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
40,doi:10.1117/12.3098404,Monte Carlo simulation of spectral reflectance images of human skin with embedded lesions,10.1117/12.3098404,"[""TC-NOV-001""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
41,doi:10.1109/wacvw60836.2024.00067,Does the Fairness of Your Pre-Training Hold Up? Examining the Influence of Pre-Training Techniques on Skin Tone Bias in Skin Lesion Classification,10.1109/wacvw60836.2024.00067,"[""TC-NOV-004""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
42,doi:10.19184/cerimre.v5i2.31668,Optical Ray Tracing Simulation by Using Monte Carlo Method for Reflectance-based Photoplethysmography Sensor in Human Skin and Fingertip Model,10.19184/cerimre.v5i2.31668,"[""TC-NOV-001""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
43,doi:10.3390/jimaging9020047,Spectral Reflectance Estimation from Camera Responses Using Local Optimal Dataset,10.3390/jimaging9020047,"[""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
44,doi:10.1364/boe.570414,Dynamic contrast in dual-beam optical coherence tomography imaging of human skin.,10.1364/boe.570414,"[""TC-NOV-004""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
45,doi:10.1111/srt.12396,"SpectraCam<sup>®</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation",10.1111/srt.12396,"[""TC-NOV-001""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
46,doi:10.1111/j.1600-0846.1997.tb00191.x,A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR‐200) and two spectrophotometers (Minolta Spectrophotometer CM‐508i and CM‐2002). Quantification of UV‐B induced erythema in a hairless guinea pig model,10.1111/j.1600-0846.1997.tb00191.x,"[""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
47,doi:10.1109/iccphot.2016.7492879,White balance under mixed illumination using flash photography,10.1109/iccphot.2016.7492879,"[""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
48,doi:10.1093/bjd/ljag151.052,P11 Objective measurement of skin tone using artificial intelligence,10.1093/bjd/ljag151.052,"[""TC-NOV-004""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
