acquisition_order,unique_review_order,canonical_key,doi,attempt_order,candidate_route,accept_class,requested_url,final_url,http_status,fetch_state,content_type,downloaded_bytes,detected_format,structure_valid,identity_valid,doi_match,title_token_ratio,word_count,scientific_section_count,attempt_accepted,validation_reason
6,12,doi:10.1109/cvprw50498.2020.00239,10.1109/cvprw50498.2020.00239,2,CROSSREF_CONTENT_LINK,ANY,http://xplorestaging.ieee.org/ielx7/9142289/9150305/09150664.pdf?arnumber=9150664,https://xplorestaging.ieee.org/document/9150664/;jsessionid=EE22BB41F01C8A5D4E63136E11301DF0,200,FETCHED,text/html;charset=UTF-8,49448,HTML,False,True,False,1.0,120,1,False,structure_valid=False;identity_valid=True;sections=1;word_count=120;access_gate_markers=
6,12,doi:10.1109/cvprw50498.2020.00239,10.1109/cvprw50498.2020.00239,3,DOI_NEGOTIATION_XML,XML,https://doi.org/10.1109/cvprw50498.2020.00239,https://api.crossref.org/v1/works/10.1109%2Fcvprw50498.2020.00239/transform,406,HTTP_ERROR,text/plain;charset=utf-8,33,UNKNOWN,False,False,False,0.0,0,0,False,HTTP Error 406: Not Acceptable
6,12,doi:10.1109/cvprw50498.2020.00239,10.1109/cvprw50498.2020.00239,4,DOI_NEGOTIATION_PDF,PDF,https://doi.org/10.1109/cvprw50498.2020.00239,https://ieeexplore.ieee.org/document/9150664/,202,FETCHED,text/html; charset=UTF-8,0,HTML,False,False,False,0.0,0,0,False,FETCHED
6,12,doi:10.1109/cvprw50498.2020.00239,10.1109/cvprw50498.2020.00239,5,ORIGINAL_SELECTED_ROUTE,ANY,https://doi.org/10.1109/cvprw50498.2020.00239,https://ieeexplore.ieee.org/document/9150664/,202,FETCHED,text/html; charset=UTF-8,2055,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
7,13,doi:10.1093/ced/llaf126,10.1093/ced/llaf126,1,OPENALEX_LOCATION_HTML,HTML,https://doi.org/10.1093/ced/llaf126,https://academic.oup.com/ced/article/50/8/1620/8075104,403,HTTP_ERROR,text/html; charset=UTF-8,5643,HTML,False,False,False,0.0,0,0,False,HTTP Error 403: Forbidden
7,13,doi:10.1093/ced/llaf126,10.1093/ced/llaf126,2,OPENALEX_LOCATION_HTML,HTML,https://pubmed.ncbi.nlm.nih.gov/40080693,https://pubmed.ncbi.nlm.nih.gov/40080693/,200,FETCHED,text/html; charset=utf-8,138502,HTML,True,True,True,1.0,1334,3,True,HTML scientific full text validated
8,3,doi:10.1002/jbio.202400118,10.1002/jbio.202400118,1,OPENALEX_BEST_PDF,PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jbio.202400118,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jbio.202400118,403,HTTP_ERROR,text/html; charset=UTF-8,5735,HTML,False,False,False,0.0,0,0,False,HTTP Error 403: Forbidden
8,3,doi:10.1002/jbio.202400118,10.1002/jbio.202400118,2,OPENALEX_BEST_HTML,HTML,https://doi.org/10.1002/jbio.202400118,https://onlinelibrary.wiley.com/doi/10.1002/jbio.202400118,403,HTTP_ERROR,text/html; charset=UTF-8,5684,HTML,False,False,False,0.0,0,0,False,HTTP Error 403: Forbidden
8,3,doi:10.1002/jbio.202400118,10.1002/jbio.202400118,3,OPENALEX_LOCATION_HTML,HTML,https://pubmed.ncbi.nlm.nih.gov/39315641,https://pubmed.ncbi.nlm.nih.gov/39315641/,200,FETCHED,text/html; charset=utf-8,125951,HTML,True,True,True,1.0,1361,4,True,HTML scientific full text validated
9,14,doi:10.1117/12.3098393,10.1117/12.3098393,1,OPENALEX_BEST_HTML,HTML,https://discovery.dundee.ac.uk/en/publications/6d6b449c-b265-456f-bf94-e124da85b69a,https://discovery.dundee.ac.uk/en/publications/optimal-wavelength-selection-for-laparoscopic-multispectral-imagi/,200,FETCHED,text/html;charset=UTF-8,80759,HTML,False,True,True,1.0,1103,2,False,structure_valid=False;identity_valid=True;sections=2;word_count=1103;access_gate_markers=
9,14,doi:10.1117/12.3098393,10.1117/12.3098393,2,OPENALEX_LOCATION_HTML,HTML,https://doi.org/10.1117/12.3098393,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13935/3098393/Optimal-wavelength-selection-for-laparoscopic-multispectral-imaging-to-visualize-tissue/10.1117/12.3098393.full,200,FETCHED,text/html,212,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
9,14,doi:10.1117/12.3098393,10.1117/12.3098393,3,DOI_NEGOTIATION_XML,XML,https://doi.org/10.1117/12.3098393,https://api.crossref.org/v1/works/10.1117%2F12.3098393/transform,406,HTTP_ERROR,text/plain;charset=utf-8,33,UNKNOWN,False,False,False,0.0,0,0,False,HTTP Error 406: Not Acceptable
9,14,doi:10.1117/12.3098393,10.1117/12.3098393,4,DOI_NEGOTIATION_PDF,PDF,https://doi.org/10.1117/12.3098393,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13935/3098393/Optimal-wavelength-selection-for-laparoscopic-multispectral-imaging-to-visualize-tissue/10.1117/12.3098393.full,200,FETCHED,text/html,212,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
9,14,doi:10.1117/12.3098393,10.1117/12.3098393,5,ORIGINAL_SELECTED_ROUTE,ANY,https://discovery.dundee.ac.uk/en/publications/6d6b449c-b265-456f-bf94-e124da85b69a,https://discovery.dundee.ac.uk/en/publications/optimal-wavelength-selection-for-laparoscopic-multispectral-imagi/,200,FETCHED,text/html;charset=UTF-8,80759,HTML,False,True,True,1.0,1103,2,False,structure_valid=False;identity_valid=True;sections=2;word_count=1103;access_gate_markers=
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,10.2352/issn.2470-1173.2016.13.iqsp-219,1,OPENALEX_LOCATION_HTML,HTML,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,https://library.imaging.org/ei/articles/28/13/art00023,200,FETCHED,text/html; charset=utf-8,137945,HTML,False,True,True,1.0,545,3,False,structure_valid=False;identity_valid=True;sections=3;word_count=545;access_gate_markers=
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,10.2352/issn.2470-1173.2016.13.iqsp-219,2,CROSSREF_CONTENT_LINK,ANY,https://library.imaging.org/ei/articles/28/13/art00023,https://library.imaging.org/ei/articles/28/13/art00023,200,FETCHED,text/html; charset=utf-8,137945,HTML,False,True,True,1.0,545,3,False,structure_valid=False;identity_valid=True;sections=3;word_count=545;access_gate_markers=
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,10.2352/issn.2470-1173.2016.13.iqsp-219,3,DOI_NEGOTIATION_XML,XML,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,https://api.crossref.org/v1/works/10.2352%2Fissn.2470-1173.2016.13.iqsp-219/transform,406,HTTP_ERROR,text/plain;charset=utf-8,33,UNKNOWN,False,False,False,0.0,0,0,False,HTTP Error 406: Not Acceptable
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,10.2352/issn.2470-1173.2016.13.iqsp-219,4,DOI_NEGOTIATION_PDF,PDF,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,https://library.imaging.org/ei/articles/28/13/art00023,200,FETCHED,text/html; charset=utf-8,137945,HTML,False,True,True,1.0,545,3,False,structure_valid=False;identity_valid=True;sections=3;word_count=545;access_gate_markers=
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,10.2352/issn.2470-1173.2016.13.iqsp-219,5,ORIGINAL_SELECTED_ROUTE,ANY,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,https://library.imaging.org/ei/articles/28/13/art00023,200,FETCHED,text/html; charset=utf-8,137945,HTML,False,True,True,1.0,545,3,False,structure_valid=False;identity_valid=True;sections=3;word_count=545;access_gate_markers=
12,17,doi:10.3390/app15158321,10.3390/app15158321,1,OPENALEX_BEST_PDF,PDF,https://www.mdpi.com/2076-3417/15/15/8321/pdf?version=1753516481,https://www.mdpi.com/2076-3417/15/15/8321/pdf?version=1753516481,200,FETCHED,text/html,2306,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
12,17,doi:10.3390/app15158321,10.3390/app15158321,2,OPENALEX_BEST_HTML,HTML,https://doi.org/10.3390/app15158321,https://www.mdpi.com/2076-3417/15/15/8321,200,FETCHED,text/html,2208,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
12,17,doi:10.3390/app15158321,10.3390/app15158321,3,OPENALEX_LOCATION_HTML,HTML,https://doaj.org/article/3e9db4ce8c9e47f7800dc8a71cdbacf0,https://doaj.org/article/3e9db4ce8c9e47f7800dc8a71cdbacf0,403,HTTP_ERROR,text/html; charset=UTF-8,5668,HTML,False,False,False,0.0,0,0,False,HTTP Error 403: Forbidden
12,17,doi:10.3390/app15158321,10.3390/app15158321,4,CROSSREF_CONTENT_LINK,ANY,https://www.mdpi.com/2076-3417/15/15/8321/pdf,https://www.mdpi.com/2076-3417/15/15/8321/pdf,200,FETCHED,text/html,2228,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
12,17,doi:10.3390/app15158321,10.3390/app15158321,5,DOI_NEGOTIATION_XML,XML,https://doi.org/10.3390/app15158321,https://api.crossref.org/v1/works/10.3390%2Fapp15158321/transform,406,HTTP_ERROR,text/plain;charset=utf-8,33,UNKNOWN,False,False,False,0.0,0,0,False,HTTP Error 406: Not Acceptable
12,17,doi:10.3390/app15158321,10.3390/app15158321,6,DOI_NEGOTIATION_PDF,PDF,https://doi.org/10.3390/app15158321,https://www.mdpi.com/2076-3417/15/15/8321,200,FETCHED,text/html,2208,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
12,17,doi:10.3390/app15158321,10.3390/app15158321,7,ORIGINAL_SELECTED_ROUTE,ANY,https://www.mdpi.com/2076-3417/15/15/8321/pdf?version=1753516481,https://www.mdpi.com/2076-3417/15/15/8321/pdf?version=1753516481,200,FETCHED,text/html,2306,HTML,False,False,False,0.0,0,0,False,structure_valid=False;identity_valid=False;sections=0;word_count=0;access_gate_markers=
13,4,doi:10.1007/s10043-015-0177-3,10.1007/s10043-015-0177-3,1,OPENALEX_LOCATION_HTML,HTML,https://doi.org/10.1007/s10043-015-0177-3,https://link.springer.com/article/10.1007/s10043-015-0177-3?error=cookies_not_supported&code=55e373f6-e06c-45c9-9980-cf96f1a41094,200,FETCHED,text/html; charset=utf-8,324362,HTML,True,True,True,1.0,2078,4,True,HTML scientific full text validated
15,5,doi:10.1007/s10043-010-0040-5,10.1007/s10043-010-0040-5,1,OPENALEX_LOCATION_HTML,HTML,https://doi.org/10.1007/s10043-010-0040-5,https://link.springer.com/article/10.1007/s10043-010-0040-5?error=cookies_not_supported&code=1c68a689-a0f9-43b9-ad61-31f9f03e8398,200,FETCHED,text/html; charset=utf-8,301168,HTML,True,True,True,1.0,1479,4,True,HTML scientific full text validated
